Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1
1,1.679197581163768,0.3880194279546681,0.4122964406171365,0.3880194279546681,0.38933221260757506,1.090850866046445,0.5571942446043165,0.5996393642724571,0.5571942446043165,0.5549115912911997
2,1.0138561859213073,0.5723151645979493,0.5959924280279303,0.5723151645979493,0.5727024617822749,0.8768934569824701,0.6489208633093525,0.6769768641559375,0.6489208633093525,0.6507963731246009
3,0.7204541035167787,0.6580320201475085,0.6752948431211209,0.6580320201475085,0.6580462126763416,0.8603944867506794,0.6359712230215827,0.6890396364253145,0.6359712230215827,0.6414584988385353
4,0.5153511602474355,0.7275589134736463,0.7381680503769342,0.7275589134736463,0.7267814599928639,0.7946208282106224,0.6913669064748201,0.7158739388219656,0.6913669064748201,0.6936238017847868
5,0.39039717612509756,0.772980751933801,0.7816271987718253,0.772980751933801,0.7721908043158299,0.806199720707433,0.6920863309352518,0.7130167734740498,0.6920863309352518,0.690895522452812
6,0.2956052323182424,0.8192120885051268,0.8253282685831373,0.8192120885051268,0.8187156086772066,0.8617520268963671,0.7140287769784173,0.7320724208884842,0.7140287769784173,0.7178598561580967
7,0.2519507826594957,0.8366612700125922,0.8414136120628983,0.8366612700125922,0.8361353104504349,0.8332157956286409,0.7010791366906475,0.7257328368095647,0.7010791366906475,0.7071984382487866
8,0.22042507314305196,0.8533009534088865,0.8573939348278127,0.8533009534088865,0.8528097908015033,0.8687561024194477,0.7053956834532374,0.7325782756737729,0.7053956834532374,0.7106165582348667
9,0.12423329905007334,0.9060082748695809,0.9093817958729877,0.9060082748695809,0.9059305460450635,0.7369491824473458,0.758273381294964,0.7674693833431039,0.758273381294964,0.7600032828931657
10,0.07346241950959331,0.9350602626371649,0.93646904449036,0.9350602626371649,0.9349294856456756,0.7457905730296825,0.7640287769784173,0.7720895664149453,0.7640287769784173,0.7653913562177631
